checking_status,duration,credit_history,credit_amount,savings_status,employment,installment_rate,personal_status,other_debtors,age,residence_since,property,num_credits,job,num_dependents,telephone,foreign_worker,purpose_car,purpose_furniture,purpose_radio_tv,purpose_domestic,purpose_repairs,purpose_education,purpose_vacation
1,2.2481943623946687,2,0.5414244188767934,1,4,3,3,2,-0.8395941248783899,3,1,2,1,1,0,1,1,0,0,1,0,0,1
1,-0.2408572253028646,2,-0.6980192766355204,1,3,4,3,1,-0.8395941248783899,1,1,1,1,1,0,0,1,0,0,1,0,0,1
4,0.256953092236642,3,-0.3084798294745076,3,3,3,2,3,0.7435500452254252,3,2,2,2,1,0,0,1,0,0,1,0,0,1
1,-0.7386675428423712,2,0.1164722947011428,1,3,3,2,2,-0.5757367631944207,3,1,2,1,1,0,0,0,1,0,1,0,1,0
4,2.2481943623946687,2,0.5414244188767934,1,1,3,2,3,-0.2239269476157952,1,1,1,2,1,0,0,1,0,1,0,0,0,0
2,-0.7386675428423712,4,-0.6626065996208829,1,4,3,3,2,-0.8395941248783899,3,1,1,1,1,0,0,1,0,0,1,0,0,1
1,-0.7386675428423712,3,-0.6980192766355204,1,3,3,2,1,0.6555975913307688,3,2,2,1,1,1,0,1,0,0,1,0,1,0
3,-0.7386675428423712,2,-0.0960037673866823,1,3,4,1,3,-1.0154990326677027,3,1,1,1,1,0,0,1,0,0,1,0,0,1
2,-0.90460431535554,2,1.4267413442427317,1,1,3,4,4,3.030313846486492,1,1,1,2,1,1,0,1,0,0,0,0,0,0
4,0.7547634097761486,4,0.8955511890231687,1,4,2,2,3,-0.9275465787730462,3,2,1,1,1,0,0,1,0,0,1,0,0,1
1,-0.2408572253028646,2,0.1164722947011428,1,2,2,4,3,-1.1914039404570154,3,1,1,1,1,0,0,1,0,1,0,0,0,1
4,-0.7386675428423712,4,-0.7334319536501579,3,3,3,4,1,0.7435500452254252,3,1,1,2,1,1,0,1,0,0,1,0,0,1
4,1.2525737273156552,2,1.4621540212573692,5,5,3,2,2,0.1278828679628303,3,2,1,1,1,0,0,1,0,0,1,0,0,1
4,-0.2408572253028646,2,-0.7688446306647955,5,2,2,2,1,-1.279356394351672,3,1,1,2,1,0,0,1,0,1,0,0,0,1
3,-0.4897623840726179,2,-0.3438925064891451,1,2,2,3,1,-0.9275465787730462,3,1,1,1,1,0,0,1,0,0,1,0,1,0
4,-1.236477860381878,2,0.0810596176865053,1,3,3,3,2,-0.8395941248783899,3,1,1,1,1,1,0,0,0,1,0,0,0,1
1,-0.2408572253028646,2,0.328948356788968,1,3,3,3,3,0.5676451374361124,3,1,1,1,1,0,0,0,1,0,1,0,0,1
1,0.256953092236642,1,0.1164722947011428,1,4,3,4,3,-0.7516416709837335,1,1,1,1,1,0,0,1,0,0,1,0,0,1
4,-1.236477860381878,4,-0.6626065996208829,1,3,2,1,3,-0.6636892170890771,3,2,1,2,1,0,0,1,0,0,1,0,0,1
4,2.2481943623946687,4,2.9494864558721456,2,3,2,4,3,-1.0154990326677027,1,2,1,1,1,0,1,1,0,1,0,0,1,0
1,0.0080479334668886,2,0.0456469406718677,4,2,2,2,3,-0.5757367631944207,1,1,1,1,1,0,0,1,0,0,1,0,0,1
2,1.2525737273156552,3,2.347470946623308,2,4,3,3,2,-0.3998318554051079,3,2,2,2,1,0,0,1,0,0,1,0,1,0
2,-0.2408572253028646,2,0.3997737108182431,1,5,3,1,1,-0.2239269476157952,1,1,1,2,1,0,0,0,1,0,1,0,0,0
1,0.256953092236642,1,0.1164722947011428,1,3,2,4,3,-1.1914039404570154,1,1,1,1,2,0,1,0,0,1,0,0,0,1
2,3.243814997473682,2,3.7993907042234474,1,4,3,2,4,-0.7516416709837335,3,1,1,2,1,1,0,1,0,0,1,0,0,0
4,-1.236477860381878,2,-0.7334319536501579,3,3,3,4,2,1.2712647685933636,3,1,1,1,1,0,1,1,0,1,0,0,0,1
4,0.0080479334668886,4,-0.3438925064891451,1,2,2,4,2,-1.103451486562359,3,1,1,2,1,0,0,1,0,0,1,0,0,1
2,0.7547634097761486,2,-0.3793051835037827,1,3,2,2,4,-1.0154990326677027,1,1,1,1,1,1,0,0,0,0,1,0,0,1
2,-0.9875727016121244,1,0.647662449920706,1,5,2,4,4,3.382123662065117,1,1,2,2,1,0,1,1,0,0,0,0,0,0
2,-0.9875727016121244,2,-0.8750826617087081,3,3,2,3,1,2.678504030907866,3,1,1,1,1,0,0,1,0,0,1,0,1,0
2,-0.7386675428423712,2,-0.804257307679433,2,2,2,4,3,-0.7516416709837335,1,4,1,1,1,0,0,1,0,1,0,0,0,1
4,-0.9875727016121244,2,-0.6980192766355204,1,5,3,4,3,-1.3673088482463285,3,1,1,1,1,0,0,1,0,0,1,0,0,1
4,0.7547634097761486,2,-0.4855432145476952,5,5,3,4,3,1.9748843997506147,3,1,1,2,1,0,0,1,0,0,1,0,0,1
4,-0.90460431535554,4,-0.7334319536501579,1,5,3,4,1,-0.3118794015104515,3,2,2,1,2,1,0,1,0,0,1,0,1,0
4,-0.7386675428423712,2,-0.4147178605184202,2,3,2,2,1,-0.6636892170890771,3,1,1,1,1,0,0,0,1,0,1,0,0,1
1,0.256953092236642,2,-0.1668291214159574,5,5,2,4,1,-0.8395941248783899,3,1,1,1,1,0,1,1,0,1,0,0,0,1
3,-1.236477860381878,4,-0.6980192766355204,2,5,1,4,3,-0.6636892170890771,3,2,2,2,1,1,0,1,0,0,1,0,0,1
4,-0.9875727016121244,4,-0.0605910903720448,5,3,3,2,1,-0.2239269476157952,3,2,2,1,1,0,0,1,0,0,1,0,0,1
1,1.2525737273156552,2,-0.4501305375330577,5,5,3,4,4,0.3917402296467995,3,1,1,2,1,0,0,1,0,0,1,0,0,0
4,-0.90460431535554,2,-0.6626065996208829,2,3,3,2,1,-0.0480220398264824,3,1,1,1,2,1,0,1,0,1,0,0,1,0
4,0.5058582510063954,3,0.647662449920706,1,4,3,4,3,-0.8395941248783899,3,2,1,1,1,0,0,1,0,0,1,0,0,1
1,0.256953092236642,3,-0.6980192766355204,1,1,3,2,1,0.6555975913307688,3,2,2,1,1,1,0,1,0,0,0,0,0,1
2,-0.2408572253028646,2,-0.4855432145476952,5,2,2,3,1,-0.7516416709837335,3,1,1,1,1,0,0,1,0,1,0,0,0,1
1,-0.7386675428423712,2,-0.3793051835037827,1,3,3,3,2,-1.0154990326677027,3,1,1,1,1,0,0,1,0,0,1,0,1,0
2,2.2481943623946687,1,0.1164722947011428,2,4,3,2,3,-0.4877843092997643,3,1,1,1,1,0,0,1,0,0,1,0,0,1
1,-1.236477860381878,2,-1.0167333697672585,1,2,2,4,2,-1.103451486562359,3,1,1,1,1,0,0,1,0,0,1,0,0,1
2,0.7547634097761486,3,-0.27306715245987,2,5,3,2,2,0.4796926835414559,2,2,1,1,1,0,0,1,0,0,1,0,0,1
1,-0.7386675428423712,0,-0.7688446306647955,1,3,3,4,3,1.095359860804051,1,2,1,1,1,1,0,1,0,0,1,0,0,1
1,-1.236477860381878,2,-1.0167333697672585,1,5,2,1,2,1.1833123146987072,1,1,1,2,1,0,0,1,0,0,1,0,0,1
1,-0.7386675428423712,4,-0.6271939226062454,1,5,3,4,4,2.678504030907866,3,2,1,1,1,0,1,1,0,0,0,0,0,0
4,-0.7386675428423712,4,0.0102342636572302,1,5,3,4,2,0.5676451374361124,2,1,1,1,1,0,0,1,0,0,1,0,0,1
4,-0.9875727016121244,4,-0.4147178605184202,1,3,3,4,3,1.095359860804051,3,3,1,2,1,1,0,1,0,0,1,0,0,1
4,0.256953092236642,4,-0.2376544754452325,1,5,4,3,1,0.919454953014738,3,2,1,1,1,0,0,0,1,0,1,0,0,1
1,1.7503840448551615,3,0.3997737108182431,1,4,3,2,2,-0.8395941248783899,1,2,2,2,1,0,0,1,0,0,1,0,0,1
1,-0.7386675428423712,2,-0.6271939226062454,1,3,2,1,3,-1.103451486562359,1,1,1,1,1,0,0,1,0,0,1,0,0,1
1,-0.2408572253028646,4,-0.804257307679433,1,2,2,4,2,-1.279356394351672,3,1,1,1,1,0,0,1,0,1,0,0,0,1
4,0.256953092236642,4,-0.4855432145476952,4,5,3,4,1,2.150789307539928,3,1,1,2,1,1,0,1,0,0,1,0,0,1
4,1.2525737273156552,4,2.772423070798958,5,3,3,2,3,-0.4877843092997643,3,1,1,2,1,0,1,1,0,0,1,0,0,0
4,-0.4897623840726179,2,-0.3793051835037827,3,3,2,4,3,-1.3673088482463285,3,1,1,1,1,0,0,1,0,1,0,0,0,1
4,-0.0749204527896957,4,0.0810596176865053,5,2,1,4,1,0.7435500452254252,3,2,1,2,1,1,0,1,0,0,1,0,0,1
4,-0.7386675428423712,2,-0.4855432145476952,1,5,3,4,3,0.3037877757521431,3,1,1,2,1,1,0,1,0,0,1,0,0,0
2,2.2481943623946687,1,3.161962517959971,5,1,3,4,4,0.0399304140681739,3,1,1,2,1,1,0,0,1,0,0,0,0,0
4,-0.2408572253028646,4,-0.6271939226062454,1,3,3,2,2,-0.3118794015104515,1,2,1,1,1,1,0,1,0,0,1,0,0,1
4,0.256953092236642,2,-0.6271939226062454,2,5,4,4,1,0.4796926835414559,3,1,1,1,1,1,0,1,0,1,0,0,1,0
1,-1.236477860381878,2,-1.052146046781896,1,2,2,1,1,-0.7516416709837335,3,1,1,1,1,0,0,1,0,0,1,0,0,1
4,-0.2408572253028646,2,-0.5917812455916078,2,3,2,4,2,-1.0154990326677027,3,1,1,1,1,0,0,1,0,1,0,0,1,0
4,-0.9875727016121244,4,-0.3084798294745076,1,1,3,3,3,-0.3998318554051079,3,1,1,1,1,0,0,1,0,0,1,0,0,0
1,-0.7386675428423712,2,-0.5563685685769703,3,5,4,1,1,-0.0480220398264824,3,1,1,1,1,0,0,1,0,0,1,0,0,1
4,-1.1535094741252936,4,-0.9104953387233456,5,5,3,2,2,0.919454953014738,3,2,1,2,1,0,0,1,0,1,0,0,1,0
4,0.256953092236642,2,-0.4855432145476952,2,3,3,4,3,-0.5757367631944207,3,1,1,2,1,0,0,1,0,1,0,0,0,0
2,2.2481943623946687,2,2.3828836236379454,1,2,2,2,3,-0.8395941248783899,3,1,1,2,1,0,0,1,0,0,1,0,0,1
1,0.256953092236642,1,-0.27306715245987,3,3,3,4,1,-1.1914039404570154,2,1,1,2,1,0,0,1,0,0,1,0,0,1
4,-0.7386675428423712,2,-0.8750826617087081,1,5,3,4,3,0.2158353218574867,3,1,1,1,1,0,0,1,0,0,1,0,0,1
2,1.2525737273156552,3,-0.3793051835037827,1,5,3,4,4,1.8869319458559584,1,2,1,2,1,1,0,1,0,0,0,0,0,1
2,0.256953092236642,4,1.6038047293159194,4,5,2,4,4,-0.5757367631944207,3,1,1,1,1,0,1,1,0,1,0,0,0,1
2,1.2525737273156552,0,-0.4501305375330577,1,5,3,4,4,2.238741761434584,3,1,1,2,1,0,0,1,0,0,0,0,0,0
4,1.2525737273156552,4,2.559947008711133,5,5,3,4,4,0.5676451374361124,3,2,1,1,1,0,1,1,0,0,0,0,0,1
1,-0.9875727016121244,2,-0.9104953387233456,1,3,3,3,3,-0.6636892170890771,3,1,1,1,1,1,0,1,0,0,1,0,1,0
4,-0.4897623840726179,4,0.6122497729060684,5,5,2,4,3,2.0628368536452717,3,1,1,2,1,1,0,1,0,0,1,0,0,1
4,-0.2408572253028646,2,-0.27306715245987,1,3,3,4,1,0.6555975913307688,3,1,1,2,1,0,0,1,0,0,1,0,0,1
1,-1.236477860381878,4,-0.9459080157379832,1,4,2,3,2,0.1278828679628303,3,2,1,1,2,1,0,1,0,0,1,0,0,1
4,0.256953092236642,4,0.1872976487304179,4,3,3,4,1,1.2712647685933636,3,1,1,2,1,0,0,1,0,0,1,0,0,1
4,1.2525737273156552,3,0.4351863878328806,1,3,2,4,1,-0.1359744937211388,3,2,1,1,1,0,0,1,0,0,1,0,0,1
1,0.5888266372629798,2,0.258123002759693,1,3,3,2,3,0.8315024991200816,3,1,1,1,1,1,0,1,0,0,1,0,1,0
4,-0.7386675428423712,2,-0.4147178605184202,5,5,2,4,4,1.4471696763826765,3,1,1,2,1,1,0,1,0,0,0,0,0,0
4,0.256953092236642,2,-0.6626065996208829,1,3,3,2,1,-0.3998318554051079,3,1,1,2,1,1,0,0,0,0,1,0,0,1
2,-0.7386675428423712,2,-0.7334319536501579,1,5,4,3,1,0.3917402296467995,1,2,1,1,1,0,0,0,0,0,1,0,1,0
1,0.256953092236642,1,-0.1668291214159574,3,3,3,4,1,-1.1914039404570154,2,1,1,2,1,0,0,1,0,0,1,0,0,1
1,-1.0705410878687092,4,0.0456469406718677,1,4,3,4,1,0.3037877757521431,3,2,1,1,2,1,0,1,0,0,1,0,1,0
1,1.2525737273156552,2,2.1349948845354825,1,4,3,1,3,-1.0154990326677027,3,1,1,2,1,1,0,1,0,0,1,0,0,1
1,0.256953092236642,2,0.5414244188767934,1,4,3,3,2,-0.3998318554051079,3,1,1,2,1,1,0,0,1,0,1,0,0,1
1,0.5058582510063954,0,0.718487803949981,1,1,3,4,2,1.2712647685933636,2,2,1,2,1,0,0,1,0,0,1,0,0,1
4,-0.7386675428423712,4,-0.9104953387233456,2,4,2,3,3,1.35921722248802,3,2,1,2,1,1,0,1,0,0,1,0,0,1
2,0.0080479334668886,3,-0.3084798294745076,1,3,1,4,2,1.0074074069093943,3,2,1,1,1,1,0,1,0,0,1,0,0,1
1,-0.7386675428423712,2,-0.8750826617087081,1,2,2,4,2,1.5351221302773328,3,1,1,1,1,0,0,1,0,0,1,0,0,1
2,-0.7386675428423712,2,-0.6980192766355204,1,2,3,1,3,-1.1914039404570154,2,1,1,1,1,0,0,1,0,0,1,0,0,1
1,-0.2408572253028646,2,0.3997737108182431,2,3,3,4,3,-0.0480220398264824,3,1,2,2,1,1,0,1,0,0,1,0,1,0
4,0.256953092236642,2,1.4621540212573692,1,3,3,4,2,0.6555975913307688,3,1,2,1,1,1,0,1,0,0,1,0,1,0
2,-0.4897623840726179,2,-0.6980192766355204,1,5,3,4,3,0.2158353218574867,3,2,1,1,1,0,0,1,0,0,1,0,1,0
1,-0.2408572253028646,2,-0.3793051835037827,2,4,3,3,3,-0.4877843092997643,3,1,2,2,1,1,0,1,0,0,1,0,0,0
